HP_0000001	false
HP_0000004	HP_0000001
HP_0009591	HP_0001291
HP_0007010	HP_0002275
HP_0002293	HP_0001596
HP_0002293	HP_0100037
HP_0100576	HP_0000505
HP_0009855	HP_0009771
HP_0009855	HP_0009834
HP_0006591	HP_0011912
HP_0000849	HP_0011732
HP_0100555	HP_0001507
HP_0200036	HP_0200034
HP_0008208	HP_0011766
HP_0001711	HP_0001713
HP_0006850	HP_0007361
HP_0010206	HP_0010176
HP_0010206	HP_0010184
HP_0004014	HP_0003999
HP_0007403	HP_0100872
HP_0009430	HP_0004172
HP_0009430	HP_0009440
HP_0009430	HP_0009844
HP_0001586	HP_0004320
HP_0001586	HP_0004321
HP_0008457	HP_0008450
HP_0010620	HP_0000309
HP_0011335	HP_0000290
HP_0011335	HP_0009937
HP_0000163	HP_0000153
HP_0008456	HP_0003308
HP_0010782	HP_0010781
HP_0006536	HP_0002088
HP_0002019	HP_0011458
HP_0004454	HP_0011452
HP_0005301	HP_0005345
HP_0000034	HP_0000035
HP_0006386	HP_0010597
HP_0006732	HP_0006766
HP_0011940	HP_0008422
HP_0005881	HP_0000925
HP_0006467	HP_0001376
HP_0006467	HP_0003043
HP_0003246	HP_0000045
HP_0002592	HP_0004295
HP_0002592	HP_0004398
HP_0100257	HP_0002813
HP_0011899	HP_0011898
HP_0009961	HP_0009959
HP_0009961	HP_0009999
HP_0000415	HP_0000366
HP_0000728	HP_0000735
HP_0010256	HP_0010238
HP_0010256	HP_0010243
HP_0011270	HP_0009912
HP_0010843	HP_0011203
HP_0000027	HP_0008669
HP_0002636	HP_0002617
HP_0002636	HP_0011004
HP_0005345	HP_0002597
HP_0010496	HP_0002814
HP_0009560	HP_0009542
HP_0009560	HP_0009549
HP_0009560	HP_0009838
HP_0005234	HP_0004796
HP_0009215	HP_0009247
HP_0009215	HP_0009394
HP_0009215	HP_0010258
HP_0011423	HP_0011422
HP_0100850	HP_0000036
HP_0100850	HP_0100848
HP_0003271	HP_0002012
HP_0001985	HP_0001943
HP_0003324	HP_0001324
HP_0100238	HP_0009810
HP_0100238	HP_0100240
HP_0011064	HP_0000676
HP_0011064	HP_0006483
HP_0000518	HP_0000517
HP_0010876	HP_0001939
HP_0009917	HP_0000615
HP_0006203	HP_0001376
HP_0006203	HP_0006135
HP_0100958	HP_0003172
HP_0100958	HP_0003174
HP_0100403	HP_0010202
HP_0100403	HP_0010391
HP_0100403	HP_0010393
HP_0005312	HP_0004414
HP_0010989	HP_0003256
HP_0011888	HP_0001892
HP_0003917	HP_0003907
HP_0005775	HP_0002652
HP_0003991	HP_0002997
HP_0003991	HP_0006392
HP_0006466	HP_0003028
HP_0006466	HP_0005750
HP_0010015	HP_0009196
HP_0010015	HP_0009686
HP_0010015	HP_0010014
HP_0010015	HP_0010268
HP_0000630	HP_0008046
HP_0000630	HP_0011004
HP_0007238	HP_0002514
HP_0011401	HP_0003130
HP_0001981	HP_0004447
HP_0009099	HP_0000175
HP_0004673	HP_0005346
HP_0002070	HP_0001251
HP_0100254	HP_0100253
HP_0010454	HP_0003170
HP_0006684	HP_0004309
HP_0005439	HP_0000327
HP_0005439	HP_0010669
HP_0005115	HP_0011675
HP_0002054	HP_0000336
HP_0007063	HP_0006817
HP_0001473	HP_0001832
HP_0001473	HP_0009134
HP_0002624	HP_0002597
HP_0005227	HP_0100273
HP_0005227	HP_0200008
HP_0005571	HP_0011038
HP_0004835	HP_0004444
HP_0002585	HP_0002012
HP_0003351	HP_0000847
HP_0009525	HP_0009489
HP_0009525	HP_0009501
HP_0009525	HP_0010269
HP_0010137	HP_0010123
HP_0010137	HP_0010126
HP_0000152	HP_0000118
HP_0100485	HP_0001440
HP_0100485	HP_0010366
HP_0100485	HP_0100474
HP_0001742	HP_0000366
HP_0005347	HP_0002778
HP_0004612	HP_0003422
HP_0002591	HP_0100738
HP_0010914	HP_0010892
HP_0010402	HP_0010354
HP_0010402	HP_0010358
HP_0001304	HP_0001332
HP_0009292	HP_0009282
HP_0009292	HP_0009404
HP_0009292	HP_0009836
HP_0010228	HP_0005920
HP_0010228	HP_0010577
HP_0003596	HP_0003581
HP_0011180	HP_0011179
HP_0000870	HP_0010514
HP_0000720	HP_0100852
HP_0000837	HP_0010514
HP_0006758	HP_0007379
HP_0100569	HP_0003468
HP_0100569	HP_0011849
HP_0010272	HP_0010232
HP_0010272	HP_0010245
HP_0011210	HP_0010843
HP_0100593	HP_0002763
HP_0100593	HP_0010766
HP_0001000	HP_0011121
HP_0005945	HP_0001600
HP_0005389	HP_0005482
HP_0002134	HP_0010993
HP_0002344	HP_0001268
HP_0009927	HP_0009924
HP_0008694	HP_0000058
HP_0007367	HP_0002011
HP_0008353	HP_0003355
HP_0006174	HP_0005916
HP_0006174	HP_0011001
HP_0001150	HP_0000610
HP_0012280	HP_0001392
HP_0012280	HP_0011034
HP_0100957	HP_0012210
HP_0010943	HP_0011425
HP_0003978	HP_0002818
HP_0003978	HP_0003961
HP_0009064	HP_0009125
HP_0009678	HP_0009662
HP_0009678	HP_0009689
HP_0009678	HP_0010249
HP_0012042	HP_0002099
HP_0003456	HP_0003117
HP_0010712	HP_0001770
HP_0011969	HP_0000837
HP_0001475	HP_0001470
HP_0010735	HP_0010734
HP_0008498	HP_0000696
HP_0000133	HP_0000812
HP_0003911	HP_0003849
HP_0003911	HP_0003907
HP_0007268	HP_0007364
HP_0008423	HP_0000925
HP_0010154	HP_0010118
HP_0010154	HP_0010125
HP_0003278	HP_0002644
HP_0000977	HP_0010647
HP_0009334	HP_0004172
HP_0009334	HP_0009320
HP_0009334	HP_0010244
HP_0005603	HP_0000995
HP_0003481	HP_0011096
HP_0003781	HP_0100755
HP_0004361	HP_0003117
HP_0011958	HP_0000479
HP_0000691	HP_0006482
HP_0005990	HP_0008188
HP_0003656	HP_0004344
HP_0006434	HP_0002984
HP_0004898	HP_0003128
HP_0007519	HP_0001002
HP_0010867	HP_0001251
HP_0004415	HP_0004414
HP_0011326	HP_0001357
HP_0010387	HP_0010177
HP_0010387	HP_0010342
HP_0003930	HP_0003926
HP_0009244	HP_0001204
HP_0009244	HP_0004225
HP_0009244	HP_0009178
HP_0007420	HP_0001933
HP_0009488	HP_0006263
HP_0009488	HP_0010228
HP_0100757	HP_0002894
HP_0010468	HP_0000035
HP_0005235	HP_0005265
HP_0005235	HP_0011100
HP_0001857	HP_0001831
HP_0001857	HP_0010185
HP_0011798	HP_0009726
HP_0006256	HP_0001155
HP_0003861	HP_0009808
HP_0005069	HP_0008905
HP_0001466	HP_0000005
HP_0100878	HP_0000130
HP_0000197	HP_0010286
HP_0006705	HP_0002564
HP_0100790	HP_0003549
HP_0005266	HP_0002242
HP_0005266	HP_0007378
HP_0100520	HP_0011037
HP_0007413	HP_0001052
HP_0011403	HP_0010881
HP_0004886	HP_0005348
HP_0004237	HP_0006014
HP_0006361	HP_0010582
HP_0011994	HP_0001671
HP_0011068	HP_0010566
HP_0011068	HP_0100612
HP_0006383	HP_0006487
HP_0010956	HP_0010955
HP_0100072	HP_0010168
HP_0100072	HP_0010335
HP_0000286	HP_0000492
HP_0006385	HP_0009816
HP_0011558	HP_0011557
HP_0009531	HP_0009495
HP_0009531	HP_0009501
HP_0009531	HP_0010275
HP_0010825	HP_0001291
HP_0004257	HP_0001216
HP_0004257	HP_0004256
HP_0004355	HP_0004367
HP_0004355	HP_0011012
HP_0002025	HP_0004378
HP_0005562	HP_0000107
HP_0008339	HP_0003355
HP_0007824	HP_0000602
HP_0005185	HP_0006673
HP_0004861	HP_0001972
HP_0003240	HP_0010932
HP_0000982	HP_0000962
HP_0008472	HP_0008519
HP_0012084	HP_0004303
HP_0010992	HP_0000020
HP_0000687	HP_0000692
HP_0011688	HP_0004755
HP_0100154	HP_0100063
HP_0100154	HP_0100092
HP_0007206	HP_0001355
HP_0010716	HP_0001770
HP_0001853	HP_0009136
HP_0002898	HP_0011792
HP_0011704	HP_0011702
HP_0012025	HP_0004337
HP_0009254	HP_0009249
HP_0009254	HP_0009397
HP_0009254	HP_0010250
HP_0001269	HP_0004374
HP_0009878	HP_0001251
HP_0009878	HP_0001288
HP_0003942	HP_0009811
HP_0006597	HP_0009113
HP_0009395	HP_0009174
HP_0009395	HP_0010230
HP_0005802	HP_0008368
HP_0000010	HP_0002719
HP_0000010	HP_0100577
HP_0001983	HP_0004332
HP_0005354	HP_0011840
HP_0010150	HP_0010114
HP_0010150	HP_0010125
HP_0100781	HP_0002867
HP_0100781	HP_0005107
HP_0000067	HP_0000055
HP_0000067	HP_0000068
HP_0009922	HP_0004327
HP_0010915	HP_0004337
HP_0100476	HP_0001859
HP_0100476	HP_0100470
HP_0011447	HP_0011992
HP_0007371	HP_0001273
HP_0007371	HP_0007369
HP_0010055	HP_0001837
HP_0010055	HP_0001844
HP_0009225	HP_0009192
HP_0009225	HP_0009238
HP_0009225	HP_0010242
HP_0002064	HP_0001257
HP_0100673	HP_0100672
HP_0003177	HP_0002867
HP_0010111	HP_0010058
HP_0010111	HP_0010109
HP_0010111	HP_0010746
HP_0001525	HP_0001508
HP_0010727	HP_0000478
HP_0011383	HP_0011380
HP_0005462	HP_0002514
HP_0200021	HP_0003043
HP_0006441	HP_0003063
HP_0007667	HP_0000546
HP_0011547	HP_0011546
HP_0008103	HP_0008369
HP_0009013	HP_0001443
HP_0009013	HP_0001471
HP_0004467	HP_0100277
HP_0100502	HP_0004341
HP_0006471	HP_0005060
HP_0011475	HP_0008609
HP_0009814	HP_0006496
HP_0009814	HP_0009828
HP_0007086	HP_0001268
HP_0009495	HP_0006263
HP_0009495	HP_0010235
HP_0000771	HP_0000769
HP_0002088	HP_0012252
HP_0009418	HP_0009320
HP_0009418	HP_0010236
HP_0008511	HP_0011493
HP_0011185	HP_0011182
HP_0001273	HP_0002500
HP_0100859	HP_0011934
HP_0006668	HP_0000773
HP_0003953	HP_0002973
HP_0003953	HP_0011849
HP_0004407	HP_0005105
HP_0005877	HP_0003468
HP_0006893	HP_0007033
HP_0009707	HP_0009701
HP_0009707	HP_0010012
HP_0001141	HP_0000505
HP_0005214	HP_0004796
HP_0003189	HP_0005105
HP_0003859	HP_0009808
HP_0005112	HP_0001724
HP_0009242	HP_0004216
HP_0009242	HP_0004225
HP_0009242	HP_0009839
HP_0000571	HP_0000570
HP_0011142	HP_0011141
HP_0005507	HP_0011902
HP_0010653	HP_0010652
HP_0008232	HP_0000837
HP_0011471	HP_0008872
HP_0009515	HP_0009490
HP_0009515	HP_0009500
HP_0009515	HP_0010259
HP_0100258	HP_0010442
HP_0003037	HP_0001367
HP_0001644	HP_0001638
HP_0006679	HP_0006704
HP_0006679	HP_0012089
HP_0100571	HP_0001713
HP_0004712	HP_0012210
HP_0100103	HP_0100047
HP_0100103	HP_0100088
HP_0001182	HP_0100807
HP_0000009	HP_0000014
HP_0007732	HP_0008038
HP_0009193	HP_0004288
HP_0009193	HP_0005913
HP_0000643	HP_0000492
HP_0000643	HP_0012179
HP_0200042	HP_0011355
HP_0100930	HP_0100924
HP_0007469	HP_0007477
HP_0007469	HP_0100871
HP_0007469	HP_0100872
HP_0003264	HP_0004356
HP_0010239	HP_0009380
HP_0010239	HP_0009802
HP_0010239	HP_0009843
HP_0009929	HP_0010938
HP_0002773	HP_0003312
HP_0002773	HP_0008479
HP_0003160	HP_0001939
HP_0200013	HP_0011793
HP_0008180	HP_0003236
HP_0009005	HP_0001421
HP_0010861	HP_0001623
HP_0100423	HP_0100405
HP_0010162	HP_0010160
HP_0010162	HP_0010577
HP_0010250	HP_0010232
HP_0010250	HP_0010243
HP_0100766	HP_0100763
HP_0100449	HP_0010362
HP_0008436	HP_0008517
HP_0006473	HP_0006487
HP_0003965	HP_0002973
HP_0003496	HP_0010702
HP_0011783	HP_0000836
HP_0007672	HP_0008024
HP_0008038	HP_0011482
HP_0003764	HP_0011355
HP_0100011	HP_0100008
HP_0100011	HP_0100012
HP_0011421	HP_0011420
HP_0002987	HP_0002996
HP_0002987	HP_0100360
HP_0006514	HP_0002088
HP_0006514	HP_0010766
HP_0005248	HP_0005912
HP_0005248	HP_0011040
HP_0005013	HP_0010597
HP_0003995	HP_0002818
HP_0006729	HP_0011793
HP_0001177	HP_0001161
HP_0001177	HP_0001172
HP_0001177	HP_0100258
HP_0008639	HP_0000812
HP_0010129	HP_0010115
HP_0010129	HP_0010126
HP_0002587	HP_0002013
HP_0011863	HP_0000766
HP_0011863	HP_0011849
HP_0000897	HP_0000766
HP_0000897	HP_0000919
HP_0002374	HP_0100022
HP_0002575	HP_0002031
HP_0002575	HP_0002778
HP_0003464	HP_0003107
HP_0011750	HP_0011747
HP_0011750	HP_0100568
HP_0005105	HP_0000366
HP_0009103	HP_0002644
HP_0011868	HP_0003418
HP_0007720	HP_0100691
HP_0005483	HP_0001600
HP_0100610	HP_0002686
HP_0100610	HP_0010893
HP_0010799	HP_0100835
HP_0010799	HP_0100836
HP_0006316	HP_0000692
HP_0000534	HP_0000284
HP_0000534	HP_0000606
HP_0000534	HP_0001595
HP_0005541	HP_0012234
HP_0008519	HP_0000925
HP_0008519	HP_0002644
HP_0001723	HP_0001638
HP_0010936	HP_0000079
HP_0006169	HP_0006135
HP_0007949	HP_0200056
HP_0000553	HP_0000478
HP_0001572	HP_0006482
HP_0005303	HP_0004962
HP_0010180	HP_0010161
HP_0001649	HP_0011675
HP_0010643	HP_0010644
HP_0006779	HP_0002859
HP_0100658	HP_0003549
HP_0000331	HP_0000306
HP_0000823	HP_0001510
HP_0000823	HP_0008373
HP_0100736	HP_0000174
HP_0100427	HP_0010384
HP_0005272	HP_0005289
HP_0003281	HP_0011031
HP_0002403	HP_0010831
HP_0012211	HP_0000077
HP_0011575	HP_0011574
HP_0010338	HP_0010321
HP_0009629	HP_0009618
HP_0009629	HP_0009658
HP_0004576	HP_0005106
HP_0001159	HP_0011297
HP_0000201	HP_0000153
HP_0001519	HP_0000098
HP_0010263	HP_0010234
HP_0010263	HP_0010244
HP_0010263	HP_0100916
HP_0004614	HP_0003298
HP_0001895	HP_0010972
HP_0004757	HP_0005110
HP_0012019	HP_0001083
HP_0006929	HP_0001298
HP_0004018	HP_0003849
HP_0004018	HP_0004015
HP_0011076	HP_0000164
HP_0009177	HP_0006152
HP_0009177	HP_0009178
HP_0009177	HP_0009232
HP_0003365	HP_0003272
HP_0002159	HP_0008155
HP_0001071	HP_0001014
HP_0009823	HP_0006496
HP_0009823	HP_0009825
HP_0004041	HP_0004039
HP_0001654	HP_0002564
HP_0010740	HP_0000944
HP_0010740	HP_0004348
HP_0010740	HP_0010766
HP_0005899	HP_0000944
HP_0001094	HP_0012122
HP_0011356	HP_0000951
HP_0006357	HP_0006480
HP_0007817	HP_0000605
HP_0010832	HP_0003474
HP_0007833	HP_0000593
HP_0000999	HP_0005406
HP_0004904	HP_0000819
HP_0008523	HP_0011039
HP_0000055	HP_0000811
HP_0000055	HP_0010460
HP_0008376	HP_0001260
HP_0007501	HP_0000962
HP_0002492	HP_0002062
HP_0011833	HP_0000436
HP_0006671	HP_0004763
HP_0009609	HP_0010006
HP_0009609	HP_0010009
HP_0003565	HP_0001939
HP_0006733	HP_0002488
HP_0003042	HP_0009811
HP_0002923	HP_0002960
HP_0004377	HP_0001871
HP_0004377	HP_0011793
HP_0005218	HP_0004871
HP_0005218	HP_0010447
HP_0005432	HP_0004313
HP_0002350	HP_0002438
HP_0002350	HP_0010576
HP_0001072	HP_0011121
HP_0001167	HP_0001155
HP_0001167	HP_0011297
HP_0012161	HP_0012158
HP_0005678	HP_0003414
HP_0007117	HP_0007372
HP_0005338	HP_0000535
HP_0005987	HP_0005994
HP_0100008	HP_0100007
HP_0005688	HP_0009617
HP_0000111	HP_0000095
HP_0000904	HP_0000772
HP_0009203	HP_0004224
HP_0009203	HP_0009382
HP_0009203	HP_0010257
HP_0003977	HP_0002818
HP_0009562	HP_0009542
HP_0009562	HP_0009551
HP_0009562	HP_0009840
HP_0009562	HP_0100900
HP_0003376	HP_0001288
HP_0007436	HP_0000968
HP_0002895	HP_0002890
HP_0010028	HP_0009652
HP_0010028	HP_0010009
HP_0001606	HP_0001604
HP_0001607	HP_0001600
HP_0008703	HP_0000812
HP_0008703	HP_0010766
HP_0009976	HP_0009283
HP_0009976	HP_0009972
HP_0009976	HP_0010008
HP_0010174	HP_0010161
HP_0009378	HP_0004213
HP_0009378	HP_0009774
HP_0000563	HP_0100689
HP_0000563	HP_0100692
HP_0005184	HP_0001657
HP_0001413	HP_0001394
HP_0001010	HP_0000980
HP_0001010	HP_0001000
HP_0010941	HP_0010940
HP_0100062	HP_0010169
HP_0100062	HP_0010329
HP_0009889	HP_0001007
HP_0100276	HP_0011355
HP_0009269	HP_0009248
HP_0009269	HP_0009401
HP_0009269	HP_0010276
HP_0007039	HP_0002134
HP_0010126	HP_0010056
HP_0004326	HP_0001824
HP_0012001	HP_0011198
HP_0001763	HP_0001760
HP_0005518	HP_0001877
HP_0100348	HP_0010327
HP_0100432	HP_0010372
HP_0002197	HP_0001250
HP_0002113	HP_0002088
HP_0010554	HP_0006101
HP_0100190	HP_0100076
HP_0100190	HP_0100095
HP_0009949	HP_0009543
HP_0009949	HP_0009945
HP_0009949	HP_0010008
HP_0100656	HP_0000765
HP_0100656	HP_0001438
HP_0001611	HP_0001608
HP_0001885	HP_0001831
HP_0011965	HP_0004337
HP_0009718	HP_0009592
HP_0011495	HP_0000481
HP_0011484	HP_0007833
HP_0012159	HP_0012158
HP_0004952	HP_0004947
HP_0010222	HP_0010011
HP_0003016	HP_0000944
HP_0002060	HP_0100547
HP_0001684	HP_0001631
HP_0001976	HP_0003256
HP_0100083	HP_0010168
HP_0100083	HP_0010341
HP_0009586	HP_0009544
HP_0009586	HP_0009545
HP_0009586	HP_0009857
HP_0005550	HP_0005558
HP_0012262	HP_0012261
HP_0010041	HP_0010039
HP_0010041	HP_0010049
HP_0100404	HP_0010211
HP_0100404	HP_0010367
HP_0100404	HP_0010370
HP_0010714	HP_0001770
HP_0009160	HP_0009153
HP_0009160	HP_0009382
HP_0009160	HP_0010268
HP_0009419	HP_0009320
HP_0009419	HP_0010237
HP_0001765	HP_0001780
HP_0011230	HP_0000534
HP_0009054	HP_0001430
HP_0009054	HP_0001465
HP_0009717	HP_0002538
HP_0009717	HP_0009731
HP_0001635	HP_0011025
HP_0001460	HP_0011805
HP_0009444	HP_0009772
